n,algorithm,time_ns,comparisons,swaps,max_depth
100,MergeSort,102600,552,672,7
100,QuickSort,517100,670,314,4
100,DeterministicSelect,1054300,200,166,0
100,ClosestPair,2650600,132,0,0
500,MergeSort,611200,3843,4488,9
500,QuickSort,364700,4461,2372,6
500,DeterministicSelect,219600,1039,794,0
500,ClosestPair,1576300,852,0,0
1000,MergeSort,148900,8710,9976,10
1000,QuickSort,303000,11765,6303,6
1000,DeterministicSelect,461700,2130,1616,0
1000,ClosestPair,2881400,1748,0,0
2000,MergeSort,254300,19438,21952,11
2000,QuickSort,218200,25084,13296,7
2000,DeterministicSelect,318400,4067,3015,0
2000,ClosestPair,4551300,3484,0,0
4000,MergeSort,581000,42807,47904,12
4000,QuickSort,466600,58091,27771,7
4000,DeterministicSelect,616000,8012,5978,0
4000,ClosestPair,6490500,7100,0,0
